W,M
routine,"a. 일상적인; 틀에 박힌 일상"
shatter,"v. 산산이 부수다, 산산조각 나다"
deprive,"v. 빼앗다, 박탈하다"
surge,"v. 밀려오다, 솟구치다, 파도, 급증"
rear,"n. 1. 뒤, 후방의 2. 기르다, 사육하다"
count,"v. 1. 세다, 계산하다 2. 중요하다"
count on,"v. ~에 의존하다, 믿다"
account,"n. 1. (예금) 계좌 2. 중요, 중요함"
account,"n. 1. 계산, 계산서 2. 설명; 설명하다"
on account of,"prep. ~ 때문에"
take ~ into account,"v. 고려하다"
symptom,"n. 증상, 징후"
explanation,"n. 설명"
charity,"n. 자선, 자선단체"
pine,"n. 소나무"
alliance,"n. 동맹, 연합"
affair,"n. 일, 문제, 업무"
positive,"a. 긍정적인, 확신하고 있는"
strict,"a. 엄격한"
shortage,"n. 부족"
hive,"n. 벌집, 북새통을 이루는 곳"
itch,"n. 가려움, 가렵다, (~하고 싶어) 근질거리다"
declare,"v. 1. 선언하다, 공표하다 2. (세관에서 과세품을) 신고하다"
portray,"v. (인물․풍경을) 그리다, 묘사하다"
dare,"v. 감히 ~하다"
sequence,"n. 연속, 순서"
aggress,"v. 공격하다, 시비를 걸다"
widow,"n. 미망인, 홀어미"
even,"ad. 1. 심지어 ~조차도 2. (비교급을 강조하여) 더욱, 훨씬"
even,"a. 고른, 평평한, 균등한"
even,"a. 짝수의"
adequate,"a. 적당한, 충분한"
beforehand,"ad. 미리, 벌써"
masterpiece,"n. 걸작, 명작"
appetite,"n. 식욕, 욕구"
obtain,"v. 얻다, 획득하다"
object,"n. 1. 물건, 물체 2. 목표, 대상 3. 반대하다"
objective,"a. 1. 객관적인 2. 목표, 목적"
subjective,"a. 주관적인"
subject,"n. 1. (실험) 대상, 피실험자 2. 과목 3. 주제, 화제"
subject,"n. 1. 국민, 신하"
be subject to,"v. 1. ~의 대상이다 2. ~을 받다, ~을 받아야 한다"
toll,"n. (유료 도로․다리 등의) 통행료"
territory,"n. 영토, 지역, 영역"
mutual,"a. 서로의, 공동의"
freshman,"n. (대학교) 신입생"
