W,M
visionary,"a. 1. 환영의, 환각의 2. 예지력 있는"
avert,"v. 피하다, 얼굴[눈]을 돌리다"
invert,"v. 거꾸로 하다, 뒤집다"
inverse,"a. 반대의"
converse,"v. 1. 대화를 나누다 2. 정반대"
horrendous,"a. 참혹한, 끔찍한"
equity,"n. 공평, 공정"
equilibrium,"n. 균형, (마음의) 평정"
equitable,"a. 공평한, 공정한"
symbiosis,"n. 공생"
biodiversity,"n. 생물의 다양성"
anarchy,"n. 무정부상태, 혼란"
pesticide,"n. 살충제, 농약"
judicial,"a. 사법의, 재판의"
demographic,"a. 인구통계학의"
photosynthesis,"n. 광합성"
frail,"a. 연약한, 허약한"
endemic,"a. (특정 지역) 고유의, 풍토성의; 풍토병"
apathy,"n. 무관심, 무감정"
crumble,"v. 허물어지다, 허물어뜨리다"
abstain,"v. 1. 삼가다, 자제하다 2. (투표에서) 기권하다"
faction,"n. 당파, 파벌"
culprit,"n. 범인, 범죄자"
autopsy,"n. (사체의) 부검"
convoy,"n. 호송, 호위"
veto,"n. 거부권, 거부하다"
perverse,"a. (사고방식, 태도가) 비뚤어진[삐딱한]"
defer,"v. 미루다, 연기하다"
limply,"ad. 무기력하게, 축 쳐져서"
sanctuary,"n. 피난처, 보호구역"
loathsome,"a. 몹시 싫은, 혐오스러운"
blatant,"a. 뻔한, 노골적인"
grievance,"n. 불평, 불만"
residual,"a. 남겨진, 잔여의"
slack,"a. 느슨한, (사업 등이) 부진한 ; 느슨함, 부진"
abortion,"n. 유산, 낙태"
acclaim,"v. 갈채를 보내다, 환호, 찬사"
setback,"n. 차질, 좌절"
contingent,"n. 1. 대표단 2. 우연한, 불확정한"
amnesty,"n. 사면, 특별사면"
void,"a. 텅 빈, ~이 전혀 없는"
reiterate,"v. 되풀이하다"
ascertain,"v. 확인하다, 알아내다"
deregulate,"v. 규제를 철폐하다"
interlock,"v. 서로 맞물리게 하다, 서로 맞물리다"
overhaul,"n. 점검, 정비, 점검하다"
generic,"a. 일반적인, 포괄적인"
clutter,"n. 난장판, 혼란, 난장판을 만들다"
toil,"v. 힘들게 일하다; 노역, 고역"
squander,"v. 낭비하다"
anguish,"n. 심한 고통, 괴로움"
condolence,"n. 애도, 조의"
mundane,"a. 일상적인, 재미없는"
churn,"v. (물, 마음 등을) 휘젓다, 뒤틀리게 하다"
sluggish,"a. 느릿느릿 움직이는, 부진한"
feeble,"a. 약한, 미미한"
mutter,"v. 중얼거리다, 투덜거리다"
fungus,"n. 균류, 곰팡이류"
daunt,"v. 위협하다, 기를 죽이다"
elicit,"v. (정보, 사실, 반응 등을) 끌어내다"
sporadic,"a. 때때로 일어나는, 산발적인"
igneous,"a. 불의, (암석이) 화성의"
thwart,"v. 방해하다, 좌절시키다"
rampant,"a. 만연하는, 걷잡을 수 없는"
surreal,"a. 초현실적인, 비현실적인"
grapple,"v. 움켜쥐다, 붙잡고 싸우다"
dwindle,"v. 점점 줄어들다"
suffocate,"v. 숨을 막다, 질식시키다"
compulsive,"a. 억제하지 못하는, 상습적인"
hallmark,"n. (전형적인) 특징"
audacious,"a. 대담한"
oblivious,"a. 망각하는, 의식하지 못하는"
explicate,"v. 상세히 설명하다, 해석하다"
lenient,"a. 관대한, 너그러운"
fortitude,"n. 용기, 불굴의 정신"
cardiac,"a. 심장의"
counterfeit,"a. 가짜의, 위조의"
scrutinize,"v. 면밀히 조사하다, 철저히 검사하다"
stagnate,"v. 흐르지 않다, 정체하다, 침체하다"
envoy,"n. 특사, 외교사절"
ambivalence,"n. 반대 감정 병존, 양면가치"
astute,"a. 빈틈없는, 약삭빠른"
averse,"a. 싫어하는, 반대하는"
rebuke,"v. 비난하다, 꾸짖다"
jeopardy,"n. 위험"
trajectory,"n. 궤적, 궤도"
immerse,"v. 1. 담그다 2. 몰두시키다"
buoyancy,"n. 1. 부력 2. (경기) 부양"
permeate,"v. 스며들다, 침투하다"
insomnia,"n. 불면증"
connote,"v. 함축하다, 내포하다"
edible,"a. 먹을 수 있는, 식용의"
obliterate,"v. 지우다, (흔적을) 없애다"
philanthropy,"n. 박애, 자선 활동"
spokesperson,"n. 대변인"
restless,"a. (지루해서) 가만히 못 있는"
holistic,"a. 전체론적인"
blueprint,"n. 청사진, 설계도, 계획"
emulate,"v. (닮고자 하는 대상을) 모방하다, 흉내 내다"
stipulate,"v. 명시하다, 규정하다"
infuriate,"v. 격분시키다"
turbulent,"a. (날씨가) 사나운, (행동이) 난폭한"
downsizing,"n. 규모 축소, 인원 감원"
increment,"n. 증가, 증액"
aqua,"n. 물, 수분"
pretentious,"a. 허세 부리는, 가식적인"
falsify,"v. 위조하다, 조작하다"
kinetic,"a. (물리학에서의) 운동의"
inflammable,"a. 타기 쉬운, 가연성의"
instigate,"v. 부추기다, 선동하다"
invincible,"a. 천하무적의, 정복할 수 없는"
