W,M
interviewer,"면접관, 인터뷰 진행자"
interviewee,면접[인터뷰] 대상자
inventor,발명가
invention,발명(품)
inventive,"창의력이 있는, 독창적인"
supervisor,"감독관, 관리자"
supervision,"감독, 관리"
secretary,비서
boundary,경계선
variety,"다양성, 다양함"
various,"다양한, 가지각색의"
ability,"할 수 있음, 능력"
able,"...할 수 있는, 유능한"
authority,"권한, 권위"
authoritative,권위적인
authorize,권한을 주다
authorized,"권한을 받은, 허가된"
appearance,"외모, 외관, 출현, 출연, 등장"
conference,"회담, 회견, 회의, 협의회"
creature,"(생명이 있는) 생물, 동물, 창조물, (상상의) 괴물"
failure,"실패(자), 낙제(자)"
accuracy,"정확(성), 정밀(도)"
privacy,"사생활, 혼자 있는 상태"
witness,"목격자, 입회인, (법정에서) 증인, 목격하다, 증언하다"
fitness,"건강(함), 적절함"
fit,"건강한, 적절한, ...에 알맞다[어울리다], 맞게 하다"
agreement,"협정, 계약, 동의, 합의"
assessment,"평가, 판단, 과세(액), 부과(액)"
document,"서류, 문서, 기록하다"
documentary,"다큐멘터리, 기록물"
documentation,"기록, 문서화"
supplement,"추가(물), 보충(물), 보충[추가]하다"
supplementary,보충의
economics,경제학
economist,경제학자
politics,정치(학)
politician,정치인
physics,물리학
physicist,물리학자
childhood,유년기
neighborhood,"근처, 동네, 이웃 사람들"
angle,"각도, 각, 관점, 노리다"
angular,"각이 진, 모난"
label,"라벨, 표, 라벨[표]을 붙이다"
labeled(labelled),"표를 붙인, 분류한"
assistant,"보조자, 조수, 보조의, 하위 직급의"
assistance,"보조, 도움"
attendant,"시중드는 사람, 수행원"
attention,"주목, 주의, 관심, 시중, 돌봄"
attentive,"주의 깊은, 세심한"
consultant,"상담가, 자문 위원"
servant,"하인, 고용인"
service,"서비스, 봉사"
resident,"거주자, 거주하는, 살고 있는"
residential,"주택가의, 거주지의"
residence,"주택, 거주지, 거주"
journalist,"언론인, 기자"
journalism,"저널리즘, 기사 보도, 언론계"
psychologist,심리학자
psychological,"심리적인, 심리학의"
relative,"친척, 인척, 상대적인"
representative,"대표자, 대표하는"
representation,"표시, 표현, 대리, 대변, 대표"
discovery,발견
theory,"이론, 학설"
theorize,이론으로 만들다
theoretical,이론상의
theorist,이론가
surgery,수술
pollution,"오염, 공해"
pollutant,오염 물질
translation,"번역, 통역, 해석"
translator,"번역가, 통역사"
introduction,"소개, 도입"
invitation,초대
wealth,"부, 재산, 풍부함"
wealthy,부유한
weight,"무게, 체중"
overweight,과체중인
lightweight,가벼운
outweigh,"...보다 뛰어나다, 중요하다"
arrival,도착
proposal,"제안, 신청, 청혼"
citizenship,"시민권, 시민으로서의 신분"
leadership,"통솔력, 지도력"
realism,"현실주의, 사실성"
realistic,"현실적인, 진짜 같은"
reality,현실
realize,"깨닫다, 실현하다"
optimism,"낙관론, 낙천주의"
optimist,"낙관론자, 낙천주의자"
criticism,"비판, 비난, (문예) 비평, 평론"
critic,"비평가, 평론가"
critical,"비판적인, 중대한, 위기의, 비평의"
target,"목표, 대상, 목표로 삼다, 대상으로 하다"
booklet,소책자
leaflet,(광고용) 전단
etiquette,"예의, 에티켓"
realize,"깨닫다, 실현하다"
realization,"깨달음, 실현, 현실화"
stabilize,"안정되다, 안정시키다"
stability,안정(성)
categorize,분류하다
simplify,"단순화하다, 간단하게 하다"
simplification,"단순화, 간소화"
simplicity,"단순, 간단"
classify,"분류하다, 구분하다"
classification,"분류, 구분"
classified,"(정보가) 기밀의, 주제별로 분류된"
clarify,"명확하게 하다, 분명히 말하다"
clarification,명료화
fascinate,"매혹하다, 마음을 사로잡다"
fascination,"매력, 매혹됨"
frustrate,"좌절감을 주다, 불만스럽게 만들다, (계획을) 좌절시키다"
frustration,"좌절감, 불만"
imitate,"모방하다, (재미로) 따라하며 흉내내다"
imitation,"모방, 흉내, 모조품"
imitative,모방적인
irritate,"짜증 나게 하다, (피부를) 자극하다"
irritation,"짜증 (나게 하는 것), 자극"
motivate,"동기를 부여하다, 자극하다"
motivation,"동기 부여, 자극, 열의"
originate,"비롯되다, (...에서) 일어나다, 발명[고안]하다"
strengthen,"강화하다, 강화되다"
frighten,무섭게 하다
fasten,"묶다, 단단히 고정시키다"
struggle,"투쟁하다, 고군분투하다, 투쟁, 분투"
wrestle,"몸싸움하다, 레슬링을 하다"
wrestling,레슬링
wrestler,레슬링 선수
extremely,"극도로, 극히"
rarely,"드물게, 거의 ...하지 않는"
nearly,"거의, 가까스로, 하마터면"
homeward,"집 쪽으로, 집으로 향하여"
upward,위쪽으로
forward,앞으로
halfway,"가운데쯤에, 중간에"
likewise,"똑같이, 비슷하게"
otherwise,"달리, 다르게"
