W,M
reside,"거주하다, 살다"
resident,"거주자, 레지던트(전문의(醫) 수련자), 거주하는, 살고 있는"
residential,"주택가의, 거주지의"
residence,"주택, 거주지, 거주"
president,"대통령, (기업 등의) 회장[-장]"
presidential,대통령의
session,"(회의, 법정, 의회 등이) 진행 중인 시기, (특정 활동을 위한) 시간, 기간, 회기"
assess,"평가하다, (세금, 요금 등을) 매기다, 사정하다"
assessment,"평가, 판단, 과세(액), 부과(액)"
obsess,"사로잡다, (...에) 강박감을 갖다"
obsession,"강박, 집착"
settle,"(분쟁 등을) 해결하다, 끝내다, 정착하다, 정착시키다, (마음, 분위기 등을) 진정하다, 진정시키다"
settlement,"합의, 해결, 정착, 거주(지)"
settler,"정착민, 이주자"
proper,"적당한, 알맞은, 어울리는, 올바른"
properly,"적당히, 알맞게"
propriety,"적절성, 예의(범절)"
property,"재산, 소유물"
appropriate,"적절한, 타당한"
temper,"(화를 잘 내는 등의) 성미, 기질, 울화, 노여움, 기분"
temperament,"기질, 성질"
temperate,"(기후, 지역 등이) 온화한, 온난한, 도를 넘지 않는, 절제하는, 온건한"
temperance,"절제, 자제, 금주"
temperature,"온도, 기온, (몸의) 체온"
lack,"부족, 결핍, ...이 부족하다, 없다"
leak,"새는 곳, 누출, 누설, (액체, 기체 등이) 새다, 새게 하다, (비밀을) 유출[누설]하다"
leakage,"새어나감, 누출"
conflict,"(의견 등이) 대립하다, 충돌하다, (의견 등의) 대립, 충돌, 갈등, 싸움, 분쟁"
conflicting,"모순되는, 상반되는"
inflict,"(고통이나 타격을) 가하다, (벌 등을) 주다"
oblige,"(...하도록) 의무를 지우다, 강요하다, (도움 등을) 베풀다, (요청받은 것을) 해주다, 돕다"
obligate,"강요하다, 의무적인"
obligation,"의무, 책임"
obligatory,"의무적인, 강제적인, 필수의"
religion,"종교, 신조"
religious,"종교(상)의, 신앙심이 깊은, 독실한"
ally,"동맹[결연]을 맺다, 지지하다, 동맹[연합]국, 동맹[협력]자"
alliance,"동맹, 연합, 동맹국, 동맹자"
rally,"결집[규합]하다, 모으다, (기력, 시장 상황 등이) 회복되다, 집회, 대회, (주가 등의) 회복"
rely,"의지하다, 믿다"
reliable,"의지할 수 있는, 믿을 만한"
reliance,"의지, 의존"
reliability,신뢰도
liable,"(...에 대해) 책임을 져야 할, 법적 책임이[의무가] 있는, ...할 것 같은, ...하기 쉬운"
liability,"(법적) 책임, 빚, 부채"
trust,"신뢰, 믿음, 위탁, 신탁, 기업 합동, 담합체, 트러스트, 신뢰하다, 믿다"
trustworthy,"믿을 수 있는, 의지할 수 있는"
entrust,"(중요한 일, 물건, 돈 등을) 맡기다, 위탁하다"
truthful,"정직한, (대답 등이) 진실한, 사실의"
truth,"사실(성), 진실"
truthfully,"사실대로, 정직하게"
bar,"술집, 바, 막대, 빗장, (막대 모양의 초콜릿, 비누 등) 긴 토막, 장애(물), 막다, 금하다"
embarrass,"당황하게 하다, 난처하게 하다"
embarrassing,당황[난처]하게 하는
embarrassed,"당황[난처]한, 어색한"
embarrassment,"당황, 난처, 골칫거리"
barrier,"울타리, 장벽, 장애물"
novel,"(장편) 소설, 새로운, 기발한"
novelist,소설가
novelty,"새로움, 신기함, 진기함, 새로운 것[경험]"
innovate,"혁신하다, 쇄신하다"
innovation,"혁신, 개혁, 새로운 고안(물)"
innovative,혁신적인
innovator,"혁신자, 개혁자"
renovate,"개조하다, 수선[수리]하다, 새롭게 하다"
renovation,"개혁, 수선, 수리"
renew,"갱신하다, ...의 기한을 연장하다, 재개하다"
renewable,"(에너지, 자원 등이) 재생 가능한, 재생 가능 에너지"
renewal,"재개, 소생, 갱신, 기한 연장"
desert,"사막, (사람, 장소, 의무 등을) 버리다, 떠나다"
deserted,"버림받은, 사람이 살지 않는"
insert,"삽입하다, 넣다, (문서 등에) 말을 써 넣다, 덧붙이다"
insertion,"삽입, 끼워넣기"
assert,"단언하다, 주장하다"
assertive,"단정적인, 자기 주장이 강한"
exert,"(힘, 영향력 등을) 발휘하다, 행사하다, 노력하다"
exertion,"노력, (영향력 등의) 발휘, 행사"
series,"(사건, 일 등의) 연속, (TV, 책 등의) 연속물, 시리즈"
serial,"연속하는, 순차적인, 연재물, 연속극"
tempt,"유혹하다, ...할 생각이 들게 하다"
temptation,유혹(하는 것)
attempt,"시도하다, 시도, 노력"
sphere,"구(球), 구체, 구형, (활동, 지식 등의) 영역, 분야"
spherical,구 모양의
atmosphere,"공기, 대기, 분위기"
hemisphere,"(지구, 천체의) 반구, (뇌의) 반구"
confuse,"혼동시키다, 혼란스럽게 하다, 혼동하다"
confusing,"혼동시키는, 혼란스럽게 하는"
confused,혼란스러운
confusion,"혼란, 혼동"
refuse,"(제의, 초대, 요청 등을) 거절하다"
refusal,"거절, 거부"
refund,"환불, 반환(금), 환불하다, 반환하다"
central,"중심의, 중앙의, 중요한"
concentrate,"집중하다, 전념하다, (한 곳에) 모으다, 집중시키다[모이다, 집중하다], 농축시키다"
concentration,"집중(력), (인구 등의) 집중, 농도, 농축"
torture,"고문, 심한 고통, 고문하다, (육체적, 정신적으로) 괴롭히다"
distort,"(정보, 사실 등을) 왜곡하다, 곡해하다, (형태를) 비틀다, 일그러뜨리다"
distortion,"왜곡(된 사실), 일그러짐"
torment,"고통, 고뇌, 괴롭히다, (특히 정신적으로) 고통을 주다"
credit,"신용[외상] (거래), 칭찬, 공로, (대학) 이수 학점, ...의 공으로 돌리다, 믿다, 신용하다"
creditor,채권자
incredible,"믿어지지 않는, 놀라운, 뛰어난, 엄청난"
incredibly,"대단히, 놀랍게도"
credible,믿을[신뢰할] 수 있는
credibility,"믿을 수 있음, 신뢰성"
grant,"(요청을) 승인하다, (권리, 상, 학위 등을) 부여[수여]하다, 인정하다, (특히 정부에서 주는) 보조금"
FALSE,"거짓의, 가짜의, 그릇된, 틀린"
falsehood,"거짓말, 허위"
falsify,"위조하다, 왜곡하다"
fail,"실패하다, ...하지 않다[못하다], (시험 등에) 낙제하다, 낙제시키다, 실패, 낙제"
failure,"실패(자), 낙제(자)"
fault,"잘못, 과실, 결점, 흠"
faulty,"결점[흠]이 있는, 잘못된, 그릇된"
faultless,"결점이 없는, 흠잡을 데 없는, 완벽한"
host,"(손님을 초대한) 주인, (행사 등의) 주최자[국], (TV, 라디오 프로그램) 진행자, (모임, 행사를) 주최하다, (TV, 라디오 프로를) 진행하다"
hostess,(연회 등의) 여주인
hostile,"적대적인, 비우호적인"
hostility,"적의, 적개심"
hospitality,"환대, 후한 대접"
hospitable,"환대하는, 친절한, (대접이) 후한"
confident,"확신하고 있는, 자신만만한, 자신이 있는"
confidence,"신뢰, 신용, 확신, 자신감"
confidential,"비밀의, 기밀의"
fidelity,"충성, 충실, (번역 등의) 정확도, 충실도"
federal,"연방제의, 연방 정부의"
faith,"신뢰, 믿음, 신념, 신앙(심)"
