W,M
magnitude,"(크기나 범위 등이) 거대함, 큼, 크기, 중요함, 중대성, (별의) 광도, (지진의) 규모"
magnify,"확대하다, 크게 (보이게) 하다, (크기, 중요성 등을) 과장하다"
magnification,확대
magnificent,"훌륭한, 굉장한, (매우) 인상적인"
master,"대가, 정통한 사람, 주인, 지배자, 석사 (학위), (사진, 음반 등의) 원판, 명인의, 일류의, 뛰어난, (...에) 정통하다, 숙달하다, (감정 등을) 억제하다, 지배하다"
masterpiece,"(최고) 걸작, 대표작, 명작"
major,"(더) 중요한, 주된, 장조의, (군대) 소령, 전공, 전공하다"
majority,"대다수, 대부분, (투표 등의) 과반수"
mayor,시장(市長) (특히 도시나 지방 자치 단체의 행정을 책임지는 최고 책임자)
majestic,"위엄 있는, 장엄한"
majesty,"위엄, 장대함, 폐하"
maximum,"최대(의), 최고(의)"
maximal,"최대한의, 최고조의"
maximize,"극대화하다, 최대한 활용하다"
fluid,"액체, 부드러운, 우아한, 유동적인, 변하기 쉬운"
fluent,"유창한, 능통한"
fluently,유창하게
fluency,유창함
influence,"영향(력), 영향을 미치다"
influential,"영향을 미치는, 유력한, 세력 있는"
influenza,"유행성 감기, 독감"
exit,"출구, 나감, 퇴장, 나가다, 퇴장하다"
initial,"처음의, 최초의, 머리글자, 이니셜"
initially,"처음에, 시초에"
initiate,"시작하다, 개시하다, (방법, 기술 등을) 전(수)하다, 가르치다"
initiative,"주도(권), 솔선, 선도, 계획"
transit,"통과, 통행, (사람, 화물의) 운송, 수송"
transition,"이행, 과도기, 변이"
perish,"죽다, 소멸하다"
issue,"논쟁점, 문제, 발행(물), 출판(물), 발표[공표]하다, (신분증, 잡지 등을) 발권[발행]하다"
concern,"걱정, 염려, 관심사, 관계, 걱정하다, 걱정시키다, 관심을 갖다, (...에) 관계하다"
concerned,"걱정하는, 염려하는, 관여[관계]하고 있는"
concerning,...에 관하여
discern,"알아차리다, 인식하다, 분별[분간]하다"
discernible,분간[구별]할 수 있는
crisis,"위기, 어려운 상황, 최악의 국면"
criticize,"비판하다, 비난하다, 비평하다"
criticism,"비판, 비난, (문예) 비평, 평론"
critic,"(문예, 영화 등의) 비평가, 평론가"
critical,"비판[비난]적인, 중대한, 위기의, 위독한, 비평의"
discriminate,"차별(대우)하다, (차이점을) 식별[구별]하다"
discrimination,"(인종, 성별 등의) 차별, 식별[판별]력"
notable,"주목할 만한, 탁월한"
note,"메모, 짧은 편지, (강의 등의) 기록, 주석, 음, 음표, 주목하다, 언급하다"
noted,유명한
notice,"주목, 주의, 게시(물), 공고, 안내(판), 통지(서), 통보, 알아차리다, 주목하다"
noticeable,"뚜렷한, 현저한"
notify,"알리다, 통보하다"
notification,"알림, 통지"
notion,"관념, 개념, 생각"
career,"(오래 해온 전문적) 직업, 경력, 커리어, 직업적인"
carpenter,목수
carriage,"마차, 운반, (기차의) 객차"
carrier,"운송[수송] 회사, 운반인, 운반[수송]기, (의학) (전염병) 보균자, 매개체"
charge,"요금을 청구하다, 고발[기소]하다, 비난하다, 책임을 지우다, 채우다, 충전하다, 요금, 비용, 고발, 기소, 비난, 책임, 담당"
discharge,"해임하다, (병원, 감옥, 군대 등에서) 내보내다, (액체, 가스 등을) 방출하다, (의무 등을) 이행하다, 해임, 퇴원, 석방, 제대, 방출, 배출(물), (책임) 이행"
agent,"대리인[점], 대행사, 중개인, (배우, 선수 등을 관리하는) 에이전트, (첩보원, 정보원 등의) 정부 요원, 매개(물), 요인"
agency,"대리점, (배우, 선수 등의) 소속사, 에이전시, (정부 등의) 기관"
agenda,"의제, 안건, 협의 사항"
active,"활동적인, 적극적인"
activity,"(목표 달성을 위한) 활동, 행동, 여가 활동"
action,"활동, 행동, 행위, 작동, 움직임, (약 등의) 효과, 작용"
activate,"작동시키다, 활성화하다"
actual,"실제의, 정확한, 진짜의"
actually,"실제로, 정말로, 사실상"
exact,"정확한, 틀림없는, 정밀한"
