W,M
capital,"수도, 중심지, 대문자, 자본(금), 대문자의, 주요한"
capitalism,자본주의
capitalist,"자본주의자, 자본가"
chief,"(조직, 단체의) 우두머리, 장(長), 주요한, 중요한, (지위, 계급 등에 있어) 최고의, 우두머리의"
chiefly,"대개, 주로"
achieve,"(일, 목적 등을 노력하여) 이루다, 성취하다, 달성하다"
achievement,"업적, 공적, 성취, 달성"
assume,"가정하다, 추측하다, (책임, 임무 등을) (떠)맡다, ...인 체하다, 가장하다"
assumption,"가정, 추측, 추정"
consume,"(시간, 돈, 에너지 등을) 소비하다, 쓰다, 먹다, 마시다"
consumer,소비자
consumption,"소비(량[액]), 사용, (음식) 섭취(량)"
presume,"가정하다, 추측하다"
presumption,"가정, 추측"
resume,"(일시적으로 중단된 후) 다시 시작하다, 재개하다, (자리, 지위 등을) 되찾다, 다시 차지하다"
resumption,"재개, 회수, 되찾음"
equal,"(수, 양, 크기, 가치, 기회 등이) 같은, 평등한, ...와 같다, ...에 필적하다"
equally,"동등하게, 평등하게, 균등하게"
equality,평등
equate,"동일시하다, 일치하다"
equation,방정식
equator,적도
equivalent,"(양, 가치, 중요성 등이) 동등한, 대등한, ...에 상당하는, 동등한 것"
adequate,"(어떤 목적에 맞게) 충분한, 적당한, (훌륭하지는 않지만) 괜찮은, 고만고만한"
identify,"(신원, 사실, 문제 등을) 확인하다, (...와) 동일시하다"
identity,"신원, 정체, 정체성, 독자성, 동일함, 일치"
identification,"신분 증명(서), 신원 확인"
identical,동일한
solve,"(문제 등을) 풀다, 해결하다"
solution,"해결(책), 해답, 용액, 용해"
solvent,"용해되는, 용해하는, 지불 능력이 있는, 용제, 용매"
solvable,"해결 가능한, 풀 수 있는"
resolve,"해결하다, 결정하다, 결심하다, (굳은) 결심, 단호한 의지"
resolution,"결심, 결단력, 해결, 해상도"
resolute,"굳게 결심한, 단호한"
dissolve,"(고체를[가] 액체로) 녹이다[녹다], (계약, 모임 등을) 종료하다, 해산시키다, 사라지다, 흩어지다"
negative,"부정적인, 반대하는, 음성의, 음극의, 음수의, 부정, 반대, 거부, 거절"
deny,"부인하다, 부정하다, 거절하다"
denial,"부인, 부정, 거절, 거부"
neutral,"중립의, (색, 모음, 성질 등이) 중간의, 중립인 것, 중립국"
neutrality,"중립 (상태), 중립성"
logic,"논리(학), 논법"
logical,"논리적인, 논리학의"
analogy,"유사점, 비슷함, 비유, 유추(에 의한 설명), 추론"
apology,"사과, 사죄"
apologize,"사과하다, 사죄하다"
apologetic,"사과의, 사죄하는"
catalogue(catalog),"(상품 등의) 목록, 일람표, 카탈로그, 목록을 만들다"
ecology,"생태학, 생태계"
ecological,"생태학의, 생태계의"
ecologist,생태학자
psychology,"심리학, 심리 (상태)"
psychological,"심리적인, 심리학의"
