W,M
geography,"지리학, (특정 지역의) 지리, 지세"
geographical(geographic),"지리학(상)의, 지리적인"
geology,"지질학, (어떤 지역의) 지질학적 특징, 지질"
geometry,기하학
multiple,"다수의, 다양한, 배수의, 배수"
multiply,"증가하다, 증가시키다, 곱하다, 번식하다"
multimedia,멀티미디어(의)
multitude,"다수, 군중"
monologue(monolog),"(혼자서만 하는) 긴 이야기, (배우의) 독백"
monoculture,"단작, 단일 재배, 단일 문화 (사회)"
union,"(노동) 조합, (동일한 관심사나 목표를 가진) 단체, 클럽, 결합, 연합"
unique,"보통이 아닌, 특별한, 독특한, 유일(무이)한, 하나밖에 없는, (특정 장소, 사람, 사물에서) 특유의, 고유의"
unify,"(갈라져 있던 것을) 통일하다, 통합하다"
unification,"통일, 통합"
unite,"(본래 개별적인 것들을 하나로) 결합[통합]하다, 연합하다"
unity,"통합, 통일, 단일성, 조화"
unit,"구성 단위, 측정 단위, 유닛, 단일체, 한 개, (병원, 군대 등의) 부문, 부(部)"
universe,"우주, 만물, 전 세계"
universal,"만인의, 전 인류의, 전 세계의, 보편[일반]적인"
university,(종합) 대학교
uniform,"제복, 군복, 교복, 유니폼, (크기, 모양, 형식 등이) 동일한, 똑같은, 일관된, 한결 같은"
bilingual,"2개 국어를 구사할 수 있는, 2개 국어를 사용하는, 2개 국어 구사자"
balance,"(양, 무게, 몸 등의) 균형, 평형, 잔고, 잔액, 저울, 균형을 잡다, 상쇄하다, (...와) 견주어 보다"
duplicate,"(서류 등을) 복사[복제]하다, (똑같이) 되풀이하다, 복사의, 복제의, 복사본, 복제품"
duplication,"복사, 복제, 이중, 중복"
dual,"둘의, 두 부분으로 된, 이중의"
twilight,"황혼, 땅거미, 어스름, (전성기 뒤의) 황혼기, 쇠퇴기"
twist,"비틀기, 꼬임, (도로, 강 등의) 굴곡, (철사, 실 등을) 꼬다, 감다, 비틀다, (몸을) 틀다, 삐다, (사실, 의미 등을) 왜곡하다"
triangle,"삼각형 (모양), 트라이앵글, 삼각관계"
triangular,"삼각형의, 삼자[국] 간의"
tribe,"부족, 종족"
trivial,"사소한, 하찮은"
manufacture,"(주로 대량으로) 제조하다, 생산하다, (이야기, 구실 등을) 꾸며내다, 만들어내다, (대규모의) 제조, 생산"
manufacturer,"제조업자, 제작사"
facility,"(편의) 시설, 설비, (장비, 체계 등의) 기능, 특질, (타고난) 재능, 솜씨"
facilitate,"가능하게 하다, 용이하게 하다"
facile,"(별 생각 없이) 술술 하는, 안이한, 손쉬운, 쉽게 얻은"
faculty,"(타고난) 재능, 능력, (대학 등의) 학부, (대학의) 교수진"
factor,"요소, 요인"
factual,"사실에 입각한, 사실적인"
effect,"효과, 영향, 결과"
effective,"효과적인, (법 등이) 시행되는"
effectively,"효과적으로, 사실상, 실제로"
affect,"영향을 미치다, ...인 체하다, 가장하다"
affection,"정(情), 애정"
affectionate,"애정 있는, 다정한"
affective,정서적인
defect,"결점, 결함, 결핍"
defective,결함[결점]이 있는
efficient,"능률적인, 효율적인"
efficiency,"능률, 효율"
deficient,"(필수적인 것이) 부족한, 모자라는, 결함이 있는"
deficit,"적자, 부족액, 결손"
deficiency,"부족, 결핍, 결함"
sufficient,충분한
proficient,"숙달된, 능숙한"
proficiency,"숙달, 능숙, 능란"
fiction,"소설, 꾸며낸 이야기, 허구"
fictional,"지어낸, 허구적인"
figure,"숫자, 수치, (돈의) 액수, (중요한) 인물, 모양, 형태, 사람의 모습, (그림의) 모델, ...라고 생각하다, 계산하다, 중요한 부분을 차지하다"
figurative,비유적인
profit,"(금전상의) 이익, 수익, 이득, 이점, ...에 득[도움]이 되다, 이익을 얻다"
profitable,"이익이 되는, 유익한"
benefit,"(주로 복지와 관련된) 이익, 이점, (정부, 직장, 보험을 통해 제공되는) 수당, 혜택, ...에 득[도움]이 되다, 득을 보다"
beneficial,"유익한, 유리한"
qualify,"자격[권한]을 얻다, 적임이다, 자격[권한]을 주다"
qualification,"자격 (부여), 자질, 자격 증명서"
qualified,"자격 있는, 적임의"
satisfy,"(사람, 규칙, 조건 등을) 만족[충족]시키다"
satisfaction,만족(감)
satisfactory,"충분한, 만족스러운"
affair,"(공적으로 중요한) 일, 문제, (사적인) 일, 사건, 스캔들, 추문"
export,"수출하다, (사상 등을) 다른 나라에 소개하다[전하다], 수출(품)"
import,"수입하다, 수입(품)"
transport,"수송[운송]하다, 수송, 운송, 운송 수단, 수송 기관"
transportation,"운송 (수단), 수송 (기관)"
portable,"휴대용의, 가지고 다닐 수 있는"
opportunity,"(좋은) 기회, 호기"
capable,"...할 수 있는, 유능한"
capability,능력
capacity,"(최대) 수용량, 능력, 역량, (기계 등의) 생산 능력"
capture,"생포, 포획, 점령, (데이터) 저장, 캡쳐, (사람, 동물 등을) 붙잡다, 생포하다, (적지 등을) 점령하다, (관심, 마음 등을) 사로잡다, (사진, 영상 등으로) 기록[포착]하다, 담아내다"
captive,"사로잡힌, 포로의, 포로"
captivity,"사로잡혀 있음, 감금, 억류"
participate,(...에) 참가[참여]하다
participation,"참가, 참여"
participant,"참가자, 참여자"
accept,"수락하다, 받아들이다, (설명, 학설, 사실 등을) 믿다, 인정하다, (기구, 모임 등에) 구성원으로 받아들이다"
acceptable,받아들일 수 있는
acceptance,"수락, 받아들임, 용인, 승인"
except,"...을 제외하고, ... 이외에는"
exception,"예외, 제외"
exceptional,"아주 뛰어난, 예외적인"
conceive,"(의견, 계획 등을) 생각해내다, 착상하다, 고안하다, (특정한 상황 등을) 상상하다, 임신하다"
concept,"개념, 관념"
conception,"개념, 생각, 구상, 착상, 임신"
perceive,"인지하다, 알아차리다"
perception,"지각 (작용), 인지(력)"
deceive,"속이다, 기만하다"
deception,"속임수, 사기 (행위)"
deceptive,"속이는, 기만적인"
deceit,"속이기, 거짓말"
receive,"받다, 수령하다, (제안, 의견 등을) 받아들이다, (전화, 방송 등을) 수신하다"
reception,"환영(회), (호텔 등의) 안내 데스크, 수신"
receipt,"영수증, 받음, 수령"
recipient,"수령인, 수취인"
occupy,"(시간, 공간, 마음, 지위, 일 등을) 차지하다, (방, 건물 등을) 사용하다, 점령[점거]하다"
occupation,"직업, 점령, 점유, 여가 활동"
stand,"서다, ...에 있다[위치하다], (어떤 상태, 입장 등에) 있다, ...을 참다, 견디다, 입장, 처지, (가구 등의) 받침대, 스탠드"
standard,"표준, 기준, 수준, 표준의, 일반적인, 보통의"
