W,M
advertise,"광고하다, 선전하다"
advertisement,광고
convert,"바꾸다, 변화시키다, 개조하다, (다른 종교, 이념 등으로) 개종[전향]하다, 개종[전향]시키다"
conversion,"전환, 변형, 개조, (종교, 이념 등의) 개종, 전향"
convertible,"(다른 형태, 용도로) 바꿀 수 있는, 컨버터블"
vertical,"수직의, 세로의, 수직(선)"
vertically,수직으로
converse,"(...와) 대화하다, 담화하다, 정반대의, 역(逆)의, 정반대, 역(逆)"
conversation,"대화, 담화"
conversely,반대로
diverse,"다양한, 가지각색의"
diversity,다양성
diversify,"다양화하다, 다각화하다"
reverse,"반대의, 거꾸로의, 뒤의, 뒷면의, 뒤집다, 거꾸로 하다, 후진하다, 반대, 역(逆), 뒤, 뒷면, 후진"
adversity,"역경, 불행, 불운"
adverse,"부정적인, 불리한"
verse,"(시의) 연, (노래의) 절, 시, 운문"
version,"(어떤 것의) 변형, 판(版), 버전, (사건 등에 대한) 소견, 해석, 설명"
divorce,"(...와) 이혼(하다), 분리(하다), 단절(하다)"
native,"출생지의, 원주민의, 토박이의, 선천적인, 타고난, 원주민, 본토박이"
nation,"국가, 나라, 국민, 민족"
national,"국가의, 국가적인, 국립의, 국영의"
nationality,"국적, 국민성"
nature,"자연(계), 성질, 특징, 천성"
natural,"자연의, 천연의, 자연스러운, 선천적인, 타고난"
innate,"선천적인, 타고난"
rotate,"회전하다, 회전시키다, 교대하다, 교대시키다"
rotation,"회전, 순환, (천체의) 자전, 교대"
control,"지배하다, 통제하다, 억제하다, 조절하다, 지배, 통제, 억제, 조절"
enroll(enrol),"등록하다, 명부에 올리다, 가입하다"
enrollment(enrolment),"등록, 가입"
partial,"부분적인, 불공평한, 편파적인, 편애하는, (어떤 것을 특히) 좋아하는"
partially,"부분적으로, 어느 정도"
particle,"소량, 미량, 작은 조각, 입자, 소립자"
particular,"특정한, 특별한, 특유의, (성격, 식성 등이) 까다로운, 상세, 명세, 자세한 내용"
particularly,"특히, 그 중에서도"
apart,"(시간, 공간적으로) (...와) 떨어져[진], 따로따로(인), 별개로[의]"
portion,"부분, 일부, 몫, 할당, 1인분"
proportion,"비율, (...에 대비한) 크기[양/정도], 균형, 조화"
reflect,"(열, 빛 등을) 반사하다, (거울, 유리 등에) 비치다, 반영하다, 나타내다, 숙고하다, 곰곰이 생각하다"
reflection,"반사, 반영, (거울 등에 비친) 상, 모습, (심사)숙고"
flexible,"(사람, 상황 등이) 융통성 있는, 탄력적인, 구부리기 쉬운, (신체 등이) 유연한"
flexibility,"융통성, 탄력성, 유연성"
manual,"육체노동의, 수동의, 소형 책자, 안내서"
manuscript,"원고, 손으로 쓴 책[문서], 사본"
maintain,"(관계, 상태, 수준 등을) 유지하다, 지속하다, (기계, 건물 등을 점검, 보수해가며) 유지하다, 주장하다, 단언하다, (가족 등을) 부양하다"
maintenance,"보수, 정비, 유지, 지속"
manipulate,"(사람, 여론 등을) (부정하게) 조종하다, 조작하다, (기계 등을) 잘 다루다"
manipulation,"교묘한 조작, 속임수, 조종, 취급"
manage,"(사업, 자금 등을) 관리하다, 경영하다, (어려운 일, 문제 등을) 어떻게든 (결국) 해내다"
management,"관리, 경영, 경영진, 경영자측"
recognize,"알아보다, 식별하다, 분간하다, (사실, 권위, 중요성 등을) 인정하다"
recognition,"인식, 인지, (수고, 공로 등의) 인정, 감사, 승인"
diagnose,"진단하다, (병 등의) 원인을 규명하다"
diagnosis,"진단, 원인 규명"
ignore,(의도적으로) 무시하다
ignorant,"...을 모르는, 무지한"
ignorance,"무지, 알지 못함"
noble,"(성품, 행위 등이) 고상한, 숭고한, 귀족의, 귀족"
nobility,"고결함, 숭고함, 귀족 (계급)"
acknowledge,"(사실, 중요성, 권위 등을) 인정하다, 사례하다, 감사하다, (선물, 편지 등을) 받았음을 알리다"
acknowledgment(acknowledgement),"승인, 인정, 사례, 감사"
acquaint,"(정보 등을) 주다, 숙지시키다"
acquainted,"...와 아는 사이인, ...을 알고 있는"
acquaintance,"(친하지는 않은) 지인, 그냥 아는 사이"
grade,"(품질, 가치 등의) 등급, 계급, 지위, (학교의) 학년, 성적, 학점, ...의 등급을 정하다[매기다]"
upgrade,"(품질, 성능을) 향상(하다), 개선(하다)"
gradual,"점진적인, 점차적인, (경사가) 완만한"
gradually,"서서히, 점점, 차차"
graduate,"졸업하다, (대학) 졸업생, 학사"
graduation,졸업
aggressive,"공격적인, 적극적인, 진취적인"
aggression,"공격, 침략 (행위), (정신적) 공격성"
congress,"(미국, 중남미 국가들의) 의회, 국회"
degree,"정도, 단계, (온도, 각도 등의) 도(度), 학위"
ingredient,"(음식 등의) 재료, 성분, (구성) 요소"
relax,"쉬다, 긴장을 풀다, (법, 규칙 등을) 완화하다, (근육을) 이완하다"
relaxation,"휴식, (법, 규칙의) 완화, (근육의) 이완"
analysis,"분석, 검토, 분해"
analyze,"분석하다, 검토하다, 분해하다"
paralysis,마비[활동 불능] (상태)
paralyze,"마비시키다, 활동 불능이 되게 하다"
release,"석방하다, 놓아주다, 공개하다, 발표하다, (영화, 음반 등을) 개봉하다, 발매하다, (감정, 화학 물질 등을) 표출하다, 방출하다, 석방, 공개, 발표, (영화, 음반 등의) 개봉, 발매, 표출, 방출"
delay,"연기하다, 늦추다, 연기, 지연"
relay,"(정보, 소식 등을) 전달하다, (라디오, TV 등을 통해) 중계하다, 릴레이 경주, 중계 (장치)"
evolve,"진화하다, 진화시키다, 발전하다, 발전시키다"
evolution,"진화, 발전"
evolutionary,"진화의, 진화론적, 발전의"
revolve,"(...을 축으로) 돌다, 회전하다, 돌리다, 회전시키다, 공전하다 (천문학)"
revolution,"혁명, 대변혁, 회전, 공전"
