W,M
favorable,"호의적인, 찬성하는"
reliable,"의지할 수 있는, 믿을 만한"
visible,"눈에 보이는, 분명한, 명백한, 눈에 띄는, 두드러진"
visual,"시각[시력]의, 눈으로 보는"
hopeful,"희망에 찬, 기대하는"
doubtful,"의심스러운, 확신이 없는"
doubtfully,"의심스럽게, 미심쩍게"
doubtfulness,"의심스러움, 불확실함"
meaningful,"의미 있는, 중요한"
regretful,"후회하는, 유감스러워하는"
thoughtful,"생각에 잠긴, 사색하는, 배려심 있는, 사려 깊은"
countless,"셀 수 없는, 무수히 많은"
endless,끝없는
helpless,"무력한, 속수무책인, 감당하지 못하는"
helplessness,"무력감, 난감함"
ideal,"이상적인, 완벽한, 상상의"
ideally,"이상적으로, 완벽하게"
idealist,이상주의자
idealistic,이상주의적인
idealize,"이상화하다, 이상적으로 생각하다"
verbal,"언어[말]의, 구두[말]로 된"
verbally,"말로, 구두로"
internal,"내부의, 내적인"
internally,"내부로, 내적으로"
internalize,"내면화하다, 습득하다"
racial,"인종의, 민족의"
racism,인종 차별 (주의)
racist,인종 차별 주의자
spiritual,"정신의, 정신적인"
familiar,"친근한, 익숙한"
solar,"태양의, 태양열을 이용한"
peculiar,"기이한, 독특한"
customary,"관례적인, 습관적인"
satisfactory,"충분한, 만족스러운"
satisfaction,만족(감)
costly,"값비싼, 손실[희생]이 큰"
timely,"시기적절한, 때를 맞춘"
orderly,"정돈된, 단정한, (행동이) 질서 있는"
furious,"몹시 화가 난, 맹렬한"
furiously,"맹렬하게, 극단적으로"
ambitious,야심 있는
cautious,"조심스러운, 신중한"
continuous,"끊임없는, 계속[연속]적인"
continuously,연달아
fortunate,운이 좋은
fortunately,"운 좋게도, 다행히도"
passionate,"열렬한, 정열적인"
passionately,열정적으로
intimate,친밀한
intimacy,친밀함
pleasant,"즐거운, 기분 좋은"
pleasure,"기쁨, 즐거움"
reliant,"의지[의존]하는, 신뢰하는"
reliance,"의존, 의지, 신뢰"
violent,"폭력적인, 난폭한, 격렬한"
violence,"폭행, 폭력"
violently,"거세게, 격렬히, 난폭하게"
urgent,"긴급한, 다급한"
urgently,급히
urgency,긴급(한 일)
foolish,어리석은
reddish,"발그레한, 불그스름한"
selfish,이기적인
selfishness,"이기적임, 이기주의"
childish,"어린애 같은, 유치한"
basic,"기초적인, 기본적인"
basically,"본질적으로, 본래"
characteristic,"특징적인, 독특한, 특징"
character,"성격, 특성, 등장인물"
characteristically,특징적으로
characterize,특징 짓다
typical,전형적인
active,"활동적인, 적극적인"
activity,"활동, 행동"
activate,"작동시키다, 활성화하다"
intuitive,"직감에 의한, 직관적인"
intuition,"직관력, 직감, 직관"
informative,"유익한, 정보를 제공하는"
information,"정보, 지식"
hasty,"성급한, 서두르는"
hasten,"서둘러 하다, 재촉하다"
sticky,"끈적거리는, 달라붙는"
gloomy,"어두운, 우울한, 우울하게 하는"
imaginable,상상할 수 있는
imaginative,"상상력이 풍부한, 창의적인"
imaginary,"상상 속에 존재하는, 가상의"
successful,"성공적인, 출세한"
successfully,성공적으로
successive,연속[계속]적인
industrial,"산업의, 산업이 발달한"
industrious,근면한
economic,경제(학)의
economics,경제학
economical,"절약이 되는, 경제적인"
historic,역사적으로 중요한
historical,"역사(학)의, 역사에 관련된, 역사적인"
considerable,"(양, 정도 등이) 상당한, 많은, 고려해야 할, 중요한"
considerably,"많이, 상당히"
considerate,"사려 깊은, 배려하는"
consideration,"숙고, 고려(사항), 참작, 배려"
sensible,"분별[지각] 있는, 현명한"
sensitive,"섬세한, 민감한, 예민한"
sensitivity,"세심함, 민감, 예민함"
respectable,"존경할 만한, 훌륭한"
respectful,"존경[존중]하는, 공손한"
respectfully,"공손히, 정중하게"
intellectual,"지적인, 지성의"
intelligent,"(사람, 동물의 머리가) 영리한, 총명한"
intelligence,"지능, 이해력"
literal,글자 그대로의
literally,글자 그대로
literary,"문학의, 문예의"
literate,읽고 쓸 줄 아는
literacy,읽고 쓰는 능력
social,"사회의, 사회적인"
sociable,"사교적인, 붙임성 있는"
comparable,"비교될 만한, 비슷한"
comparative,"비교의, 비교적인, 상대적인"
comparatively,"비교적, 어느 정도"
