W,M
progress,"진보, 발전, 진전, 진행, 전진, 진보하다, 발전하다, 전진하다"
progressive,"진보[혁신]적인, 점진적인"
propose,"제안하다, (이론 등을) 제시하다, 청혼하다"
proposal,"제안, 신청, 청혼"
produce,"생산[제조]하다, 농산물"
producer,"생산자, 제작자"
product,"생산품, 제품"
production,"생산, 제조"
productive,"생산적인, 결실이 많은, 비옥한"
protect,"보호하다, 막다, 지키다"
protection,"보호, 방어물"
protective,보호[방어]하는
profile,"(얼굴의) 윤곽, 옆얼굴, 인물 소개, 프로필, 개요"
purchase,"구매하다, 구입하다, 구매, 구입"
predict,"예언하다, 예측[예상]하다"
prediction,"예언, 예측"
predictable,"예측 가능한, 뻔한"
precaution,"조심, 경계, 예방책"
premature,"시기상조의, 조급한, 너무 이른, 조기의"
preview,"미리 보기, 사전 검토, (극, 영화 등의) 시사(회), 시연, 예고편, (시사, 시연 따위를) 보다[보여주다]"
income,"소득, 수입"
intake,섭취(량)
infection,"감염, 오염"
infect,"감염시키다, 오염시키다"
infectious,"(병이) 전염성의, (감정, 습관이) 남에게 옮기 쉬운"
insight,통찰력
inherent,"내재된, 고유의"
inherently,본질적으로
investment,"투자, 투자 자금"
invest,투자하다
investigate,"수사[조사]하다, 조사[연구]하다"
investigation,"수사[조사], 조사[연구]"
investigator,수사관
illustrate,"설명하다, 삽화를 넣다"
illustration,"삽화, 예시"
outcome,"결과, 성과"
outline,"개요, 윤곽, 외형, 개요를 서술하다, 윤곽을 보여주다[나타내다]"
outstanding,"뛰어난, 아주 훌륭한, 두드러진"
outbreak,"발생, 발발"
outlet,"(액체, 기체, 감정 등의) 배출구, 표출 방법, 상점, 아웃렛, 콘센트"
utter,"완전한, 전적인, 말하다, (소리 등을) 내다"
utterly,"완전히, 철저히"
utterance,"(입 밖으로 낸) 말, 언급된 것, 말하는 행동, 발화, 발성"
utmost,"최대의, 극도의"
recall,"기억해내다, 회상[상기]하다, 상기시키다, 회수[리콜]하다, 기억, 소환, 회수"
record,"기록, 음반, 기록하다, 녹음하다, 녹화하다"
recover,"(건강, 기능 등을) 회복하다, 되찾다, 회수하다"
recovery,"회복, 되찾기, 회수"
recycle,"재활용하다, 재생하다"
recycling,재활용
research,"연구, 조사, 연구[조사]하다"
researcher,연구원
replace,"대신하다, 대체하다, 바꾸다, 교체하다"
replacement,"교체, 교환(물), 후임자"
reproduce,"생식[번식]하다, 복제[복사]하다, 재생[재현]하다, 다시 만들어내다"
reproduction,"생식, 번식, 복제(품), 재생, 재현"
reproductive,생식[번식]의
reveal,"드러내다, 밝히다, 폭로하다"
revenue,"수익, 수입, 세입"
revive,"소생[회복]시키다, 소생[회복]하다, (유행, 기억 등이) 되살아나게 하다, 재공연하다, 재상연[재상영]하다"
revival,"회복, 부활, 되살아남, 재공연, 재상연[재상영]"
remove,"제거하다, 옮기다, 이전[이동]시키다"
removal,"제거, 이전, 이동"
retire,"은퇴[퇴직]하다, 은퇴[퇴직]시키다"
retirement,"은퇴, 퇴직"
remain,"여전히 ...인 상태이다, 머무르다, 체류하다, 남아 있다, 남다"
remainder,"나머지, 잔여 (부분)"
remains,"남은 것, 유적, 유물"
represent,"대변하다, 대표하다, 나타내다, 상징하다"
representation,"표시, 표현, 대리, 대변, 대표"
representative,"대표자, (미국의) 하원의원, 대표하는"
depress,"낙담시키다, 우울하게 하다, 불경기로 만들다"
depression,"우울, 불경기, 불황"
depressed,"우울한, 낙담한, 불경기의, 불황의"
depart,"떠나다, 출발하다"
departure,"떠남, 출발"
derive,"이끌어내다, 얻다, ...에서 유래하다, 파생되다"
derived,"파생된, 유래된"
detect,"발견[감지]하다, 알아내다"
detection,"발견, 감지"
detective,"탐정, 형사"
detach,"분리하다, 떼어내다"
detachment,"분리, 이탈, 파견 (부대)"
develop,"발전[발달]하다, 성장하다, 개발하다"
development,"발달, 성장, 개발"
declare,"선언[발표]하다, (세관 등에) 신고하다"
declaration,"선언(문), 발표, 신고"
debate,"토론, 논쟁, 토론[논쟁]하다, 숙고하다, 검토하다"
demonstrate,"입증[증명]하다, 설명하다, (행동으로) 보여주다, 시위하다"
demonstration,"입증, 설명"
depict,"(그림으로) 그리다, 묘사하다"
depiction,"묘사, 서술"
depictive,묘사적인
forehead,이마
forefather,"선조, 조상"
foresee,예견[예지]하다
foreseeable,예견할 수 있는
foremost,"가장 중요한, 최고의, 선두의, 맨 앞[먼저]의"
former,"이전의, 예전의, (둘 중에서) 앞의, 전자의"
overcome,"(곤란, 장애 등을) 극복하다, 이겨내다, (남을) 이기다"
overlook,"간과하다, 못 보고 넘어가다, 눈감아 주다, (건물 등이) ...을 내려다보다"
overseas,"해외로, 해외에(서), 해외에 있는, 외국의"
overwhelm,"압도하다, 당황하게 하다, 어쩔 줄 모르게 하다"
overwhelming,압도적인
overwhelmed,압도된
overall,"전반적인, 전반적으로"
overhead,"머리 위에, (하늘) 높이, 머리 위의, 머리 위를 지나는"
overtake,"(생산, 득점 등에서) 능가하다, 추월하다, 따라잡다, (재난, 감정 등이) 덮치다, 압도하다"
overlap,"겹치다, 포개지다, 중복되다, 부분적으로 일치하다, 겹침, 중복"
overflow,"넘치다, 범람하다, ...로 넘쳐나다, 넘침, 범람, 과잉, 초과"
extraordinary,"이상한, 비범한, 대단한"
extracurricular,"정규 교과 과정 이외의, (클럽 활동 등) 과외의"
extraterrestrial,"지구 밖의, 외계의, 외계인, 우주인"
extrovert,외향적인 사람
extroverted,"외향적인, 외향성의"
external,"외부의, 밖의"
externally,"외부적으로, 외부에서"
externalize,표면화하다
externality,"외부적 성질, 외부 효과"
undergo,"(변화, 곤란함 등을) 겪다, 경험하다"
undertake,"(떠)맡다, ...의 책임을 지다, 착수하다, (...하겠다고) 약속하다"
undergraduate,"대학생(의), 학부생(의)"
underlying,"근본적인, 근원적인"
underlie,"...의 기저를 이루다, 기본이 되다"
