W,M
legal,"법률(상)의, 합법적인"
legally,"법률적으로, 합법적으로"
legislate,"법률을 제정하다, 입법하다"
legislation,"법률 제정, 입법, 법률"
privilege,"특권, 특전, 영광, 특권을[특혜를] 주다"
privileged,특권을 가진
delegate,"대표자, 대리인, (권한, 임무 등을) 위임하다, 대표로 임명[파견]하다"
delegation,"위임, 대표단"
legacy,"유산, 유물, 물려받은 것"
colleague,(직장) 동료
loyal,"충성스러운, 충실한"
loyalty,"충성(심), 충실"
labor(labour),"(정신적, 육체적) 노동, 근로, 노동자 (계급), (열심히) 일하다, 노동하다"
laborer,(육체) 노동자
laborious,"힘든, 고된"
laboratory,"실험실, 연구소[실]"
elaborate,"정교한, 정성들여 만든, 상세히 말하다, 갈고 다듬다"
collaborate,"협력하다, 공동으로 일하다"
collaboration,"협력, 협업"
collaborative,"협력하는, 합작의"
cast,"(낚싯줄, 주사위, 표 등을) 던지다, (빛, 그림자를) 드리우다, 배우를 정하다, 배역을 맡기다, (시선을) 던지다, (눈길을) 주다, (영화, 공연 등의) 출연진, 깁스, 주형(鑄型), 거푸집, 던지기"
broadcast,"방송[방영]하다, 방송, 방영(물)"
broadcaster,"방송인, 아나운서, 방송국"
forecast,"예상[예측]하다, 예보하다, 예상[예측], 예보"
terrible,"무서운, 끔찍한, 심한, 대단한, 엄청난"
terribly,"몹시, 매우"
terror,"공포, 두려움, 테러 (행위)"
terrorist,테러리스트
terrorize(terrorise),공포에 떨게 하다
terrify,"겁나게 하다, 무섭게 하다"
terrifying,"겁나게 하는, 아주 무서운"
tone,"음색, 음조, 음성, 어조, 말투, 색조"
intonation,"억양, 어조"
monotonous,"단조로운, 변화 없는, 지루한"
monotony,"단조로움, 지루함"
tune,"가락, 곡(曲), 선율, (악기를) 조율하다, (방송 주파수, 채널 등을) 맞추다"
sole,"유일한, 단 하나의"
solely,"혼자서, 단독으로, 오로지, 단지"
solitary,"고독한, 고독을 즐기는, 혼자서 하는, 혼자의, 외딴, 고립된"
solitude,"혼자 있음, (혼자임을 즐기는) 고독"
passage,"통로, (사람, 탈것 등의) 통행, (책, 기사, 시 등의) 한 구절, (법안 등의) 통과, (시간의) 경과, 진행"
passenger,"승객, 여객"
passerby,"통행인, 지나가는 사람"
pastime,"(시간을 보내기 위한) 오락, 놀이, 심심풀이"
surpass,"...을 능가하다, ...보다 낫다"
bypass,"우회하다, 회피하다, (절차 등을) 건너뛰다, (자동차용) 우회로"
pace,"(일, 생활, 걸음 등의) 속도, 페이스, 걸음, 보폭"
pedal,"(자동차, 기계, 악기 등의) 발판, 페달, 페달을 밟다, 페달을 밟으며 가다[연주하다]"
expedition,(특정 목적을 위한) 탐험[원정](대)
pedestrian,"보행자, 보행자(용)의"
use,"사용하다, 쓰다, 사용, 이용, 용도, 쓸모, 이익"
used,"(...에) 익숙한, 중고의, 사용한"
useful,"유용한, 쓸모 있는"
useless,"쓸모[소용]없는, 무익한"
usage,"(언어의) 어법, 용법, 사용(법), 사용량"
abuse,"학대하다, (권리, 약 등을) 남용하다, 오용하다, 학대,, 남용, 오용"
abusive,"폭력적인, 학대하는, 독설의"
utilize,"활용하다, 이용하다"
utility,"(전기, 수도, 가스 등의) 공공 사업[서비스], 유용성, 효용"
utilization,"활용, 이용"
utilitarian,"실용적인, 실리주의의"
utensil,"(특히 주방에서 쓰는) 도구, 기구"
just,"올바른, 공평한, 적절한, 바로, 틀림없이, 지금 막, 방금, 단지, 그저"
justice,"정의, 공정, 사법, 재판(관)"
justify,"정당화하다, 옳다고 하다"
justified,"당연한, 정당한"
justification,"정당화, 정당한 이유"
judge,"재판관, 판사, (경기, 대회 등의) 심사위원, 심판, 판단하다, 심사하다, 판정하다, 재판[심판]하다, 판결을 내리다"
judgment(judgement),"판단(력), 판정, 판결"
prejudice,"편견, 선입견, 편견을 갖게 하다"
injure,"상처 입히다, 다치게 하다, (감정, 명예 등을) 손상시키다, 훼손하다"
injury,"상해, 부상, 손상, 훼손"
injurious,"해로운, 유해한"
experience,"경험, 경험하다, 체험하다"
experienced,"경험이 있는, 노련한, 숙련된"
experiment,"(과학) 실험, 시도, 실험[시험]하다, 시도하다"
experimental,"실험(용)의, 실험에 의거한, 실험[시험]적인"
expert,"전문가, 숙련가, 전문가의, 숙련된"
expertise,전문 지식[기술]
peril,"위험, 모험"
perilous,위험한
social,"사회의, 사회적인, 사교상의, 친목의"
society,"사회, 협회, 단체"
sociable,"사교적인, 붙임성 있는"
sociology,사회학
associate,"관련시켜 생각하다, 연상하다, 연관시키다, (특히 나쁜 친구와) 교제하다, 동료, 친구, 준-, 부-, 제휴한, 한패의"
association,"협회, 단체, 관련, 관계"
vocal,"목소리의, 음성의, 강하게 의견을 말하는, 보컬, 노래 부분"
vocabulary,어휘
vocation,"천직, 직업, 소명, 사명감"
vocational,직업(상)의
advocate,"옹호하다, 지지하다, 옹호자, 지지자, 대변인, 중재인, 변호사"
advocacy,"지지, 옹호, 변호"
evoke,"(기억, 감정을) 일깨우다, 환기시키다"
provoke,"(반응, 감정 등을) 유발하다, 화나게 하다, 야기하다, 선동하다"
provocation,"도발, 자극"
provocative,"도발적인, 자극적인"
invoke,"빌다, 기원하다, (법 등을) 적용하다, 발동하다, (근거로) 들다, 언급하다, 들먹이다"
long,"간절히 바라다, 긴, 오랜, 길게, 오래"
longing,"갈망(하는), 열망(하는)"
belong,"(...에) 속하다, ...의 것이다, (알맞은 장소, 상태에) 있다, 있어야 하다"
belongings,"재산, 소유물"
prolong,"연장하다, 지속시키다, 늘리다"
length,"길이, 세로, 기간"
lengthen,"길게 하다[늘이다], 길어지다"
linger,"오래 머무르다, 남아 있다, (오랜 기간) 지속되다"
community,"(지역) 공동체, (공통의 성격을 가진) 사회, (취미, 종교 등을 공유하는) 단체, 모임, 커뮤니티"
common,"일반의, 흔한, 보통의, 공통의, 공동의, 공통(점)"
uncommon,"(보기) 드문, 흔치 않은"
communicate,"(생각, 감정, 정보 등을) 전달하다, 의사소통하다"
communication,"의사소통, 전달, 통신"
popular,"인기 있는, 대중적인, 대중의"
popularity,"인기, 대중성"
popularize,"대중화하다, 많은 사람들에게 알리다"
population,"인구, (일정 지역의) 전체 주민"
populate,"(사람을) 거주시키다, (...에) 살다, 거주하다"
public,"공공의, 일반 대중의, 공적인, 공사(정부, 국가)의, 공공연한, 공개된, 대중, 일반 사람들"
publicity,"평판, 널리 알려짐, 광고, 선전, 홍보"
publish,"출판[발행]하다, (정보 등을) 발표[공표]하다"
publication,"출판, 발행, 발표, 공표"
publisher,"출판인, 출판사"
republic,"공화국, 공화 정치 체제"
fragment,"파편, 조각"
fragile,"부서지기 쉬운, 깨지기 쉬운, (체질이) 허약한"
fragility,"부서지기 쉬움, 연약함"
fraction,"부분, 일부, 소량, 분수(수학)"
grave,"무덤, 중대한, 심각한, 엄숙한, 진지한, 조각하다, 새기다"
