W,M
gesture,"몸짓, 제스처, (감정, 의사 등의) 표현, 표시, 몸짓[손짓]을 하다"
digest,"소화하다, 소화되다, 이해하다, 요약, 개요"
digestion,"소화(작용), 소화력"
digestive,"소화의, 소화를 돕는"
register,"등록하다, (장부에) 이름을 적다, (기기가 수치, 기록 등을) 나타내다, 기록하다, 기록(부), 등록"
registration,"등록, 신고, 등록 서류[증명서]"
registry,"등기소, 등록소, 등기, 등록"
probable,"있을 법한, 그럴듯한"
probably,"아마도, 대개는, 십중팔구"
probability,"가망성, 확률"
probe,"엄밀히 조사하다, (진상 등을) 규명하다, (철저한) 조사"
prove,"증명하다, 입증하다, ...로 판명되다"
proof,"증거, 증명"
proven,입증[증명]된
approve,"찬성하다, 승낙하다, (공식적으로) 허가하다, 승인하다"
approving,"찬성하는, 좋다고 여기는"
approval,"찬성, 승낙, 허가, 승인"
urban,도시의
suburb,"교외, 도시 주변의 주택지"
suburban,"교외의, 교외에 사는"
thesis,"논문, 주장, 논제"
hypothesis,"가설, 가정, 추측"
hypothetical,"가설의, 가정의, 가상의"
theme,"주제, 테마"
thematic,"주제에 관한, 주제와 관련된"
attach,"붙이다, 부착하다, 첨부하다, 소속시키다"
attachment,"부착(물), 부속품, 애착"
attached,"애착[애정]을 가진, 부착된, 첨부된"
attack,"공격, (갑작스런) 발병, 공격하다, (갑자기) 발병하다"
stake,"(회사에 투자한) 돈, 지분, 내기(돈), 말뚝"
estimate,"(가치, 비용 등을) 평가하다, 추정하다, 견적하다, 평가, 추정, 견적(서)"
estimation,"판단, 평가(치)"
overestimate,과대평가(하다)
esteem,"존경하다, 존중하다, 존경, 경의"
circulate,"돌다, 순환하다, (소문, 정보 등이) 퍼지다, (물건 등을) 유통[유포]하다, 배포하다"
circular,"원형의, 둥근, 순환하는, 순회의"
circulation,"(혈액의) 순환, 유통, 유포, (신문, 잡지 등의) 판매 부수"
circumstance,"주위 사정, 상황, (경제적, 물질적) 환경, 처지"
circuit,"순회 (여행), 주위, 둘레, 회로"
disturb,"방해하다, (평화, 질서, 상태를) 깨뜨리다, 어지럽히다"
disturbance,"혼란, 소동, 방해, (마음의) 불안, 동요"
disturbing,"불안하게 하는, 충격적인, 방해가 되는"
trouble,"문제, 어려움, 곤란, 근심, 괴롭히다, 걱정시키다, 성가시게 하다, 수고스럽게 ...하도록 하다"
troublesome,"골치 아픈, 성가신"
civil,"시민의, 민간인의, 민사의"
civilian,"(군인, 경찰에 소속되지 않은) 민간인(의)"
civilize,문명화하다
civilized,"문명화된, 교양 있는"
civilization(civilisation),문명 (사회)
citizen,"시민, 국민"
citizenship,"시민권, 시민으로서의 신분"
donate,"(학교, 자선 단체, 병원 등에) 기부하다, 기증하다"
donation,"기부(금), 기증(품)"
donor,"기부자, 제공자, (혈액, 조직, 장기 등의) 기증자"
anecdote,일화
dose,"(약의 1회분) 복용량, 투여량, ...에게 (약물 등을) 투여하다"
liberal,"(의견, 생각 등이) 관대한, 개방적인, 자유[진보]주의의, 인색하지 않은, 후한"
liberalize,"(법률, 제재 등을) 완화하다"
liberty,"자유, 해방, 석방"
liberate,"자유롭게 하다, 해방[석방]하다"
liberation,"해방, 석방"
deliver,"배달하다, 전하다, 강연하다, 연설하다, (아기를) 분만하다, 분만시키다, (약속 등을) 이행하다"
delivery,"배달(품), 분만, 연설"
anniversary,(해마다 있는) 기념일
annual,"해마다의, 연례의, 일 년(간)의"
annually,"매년, 일 년에 한 번씩"
electric,"전기의, 전기로 작동하는, 전기를 띤[일으키는]"
electricity,"전기, 전류"
electrical,전기(상)의
electronic,"전자의, 전자 공학의"
electronics,"전자 공학, 전자 제품"
electron,전자
origin,"기원, 유래, 출신"
original,"원래의, 최초의, 독창적인, 원형, 원작, 원본"
originality,"독창성, 기발함"
originate,"비롯되다, (...에서) 일어나다, 발명[고안]하다"
orient,"(일정 방향으로) 향하게 하다, 적응시키다"
orientation,"관심, 지향, (신입 대상) 예비 교육"
conscious,"...을 의식[자각]하고 있는, 알고 있는, 의식이 있는, 깨어있는, (생각, 노력 등이) 의식[의도]적인"
consciousness,"의식, 지각, 알고 있음, (정치, 사회적) 인식"
subconscious,잠재의식(의)
subconsciously,잠재의식 속에서
conscience,"양심, 도덕심"
conscientious,"양심적인, 성실한"
merge,"결합하다, 합병하다, 융합하다"
merger,"(조직, 기업의) 합병"
emerge,"(모습이) 드러나다, (사실이) 알려지다, 부각되다"
emergence,"출현, 등장"
emergency,비상 상황
emergent,"신생의, 신흥의"
submerge,"잠수하다, 잠기다, 잠그다, (감정, 의견 등을) 깊이 감추다"
assure,"보장하다, 장담하다, ...을 확실하게 하다"
assurance,"보장, 장담, 확신, 자신감"
reassure,안심시키다
reassurance,"안심시키기, 안심시키는 것"
insure,보험에 들다[가입하다]
insurance,보험(료)
intrude,"방해하다, 참견하다, 침입하다, 침범하다"
intrusion,"방해, 침입, 침범"
thrust,"세게 밀다, (칼 등으로) 찌르다, (세게) 밀침, 찌르기, 요점, 취지"
threat,"위협, 협박"
threaten,"협박하다, 위협하다, 위협하여 ...하게 하다"
threatening,"협박하는, 위협적인, 험악한"
graphic,"생생한, 사실적인, 그림의, 도표의, 그래픽의"
graphics,"(컴퓨터로 만든) 이미지, 그림"
photograph,"사진, 사진을 찍다"
photographer,사진사
photography,"사진 촬영, 사진술"
photographic,"사진(용)의, 사진에 의한"
section,"부분, 부문, 구획, (도시 등의) 구역, 지역, 절개, 구분[구획/분할]하다, 나누다"
intersection,"교차로, 교차 지점, 교차, 가로지름"
sector,"(사회, 경제, 사업 등의) 부문, 분야, (군대의) 지구, 부채꼴"
sectoral,"각 분야의, 부채꼴의"
segment,"(나누어진) 부분, 구획, (과일의) 한 조각"
heredity,유전
hereditary,유전(상)의
heritage,"(가치, 언어, 유적 등의) 전통문화, 유산"
inherit,"(재산 등을) 물려받다, 상속하다, (신체적, 정신적 성질 등을) 물려받다, 유전되다"
inheritance,"상속 (재산), 유전적 성질[체질], 유전"
heir,"(재산, 지위 등의) 상속인, 후계자"
humanity,"인류(애), 인간"
human,"인간의, 사람의, 인간, 사람"
humane,"인도적인, 자비로운"
humble,"겸손한, 소박한, (신분 등이) 낮은, 비천한, (자기를 낮추어) 하찮은, 겸손하게 만들다"
humility,겸손
humiliate,"굴욕감을 주다, 자존심을 상하게 하다"
humiliation,"굴욕(감), 창피 주기"
nutrition,영양분 (섭취)
nutritious,"영양가 있는, 영양분이 많은"
nutritional,영양상의
nutrient,"영양소, 영양분"
malnutrition,영양실조
nourish,"영양분을 주다, (감정, 생각, 능력 등을) 육성하다, 조성하다"
nourishment,"영양(물), 음식(물), 육성"
nurse,"간호사, 유모, 간호하다, 돌보다"
nursery,"유치원, 탁아소, (집 안의) 아이 방, 유치원의"
nurture,"양육, 양성, 영양분, (영양분이 든) 음식, 키우다, 양육하다, 육성[양성]하다, (계획, 아이디어 등을) 품다"
grab,"붙잡다, 움켜쥐다, 잡아채려고 하다, 움켜쥐기, 잡아채기"
grasp,"꽉 잡다, 움켜쥐다, 완전히 이해하다, 파악하다, 꽉 쥐기[움켜잡기], 이해, 파악"
grip,"꽉 잡음, 움켜잡는 방식, 통제권, 꽉 잡다, 움켜잡다, 사로잡다"
